"","polviews","race"
"3200","Slightly Conservative","White"
"3201","Moderate","White"
"3202","Slightly Liberal","White"
"3203","Slightly Liberal","White"
"3204","Moderate","White"
"3205","Slightly Conservative","White"
"3206","Conservative","White"
"3207","Moderate","White"
"3208","Liberal","White"
"3209","Slightly Conservative","White"
"3210","Slightly Liberal","White"
"3211","Slightly Liberal","White"
"3212","Liberal","White"
"3213","Moderate","White"
"3215","Conservative","White"
"3216","Moderate","White"
"3217","Moderate","White"
"3218","Slightly Liberal","White"
"3219","Moderate","White"
"3220","Extrmly Conservative","White"
"3221","Slightly Conservative","White"
"3222","Slightly Conservative","White"
"3223","Slightly Conservative","White"
"3224","Moderate","Black"
"3225","Moderate","White"
"3226","Moderate","White"
"3227","Moderate","Black"
"3228","Liberal","White"
"3229","Slightly Conservative","White"
"3230","Conservative","White"
"3231","Liberal","White"
"3232","Liberal","White"
"3233","Moderate","White"
"3234","Liberal","White"
"3235","Moderate","White"
"3236","Moderate","White"
"3237","Conservative","White"
"3238","Conservative","White"
"3239","Moderate","White"
"3240","Extrmly Conservative","White"
"3241","Liberal","White"
"3242","Liberal","White"
"3243","Moderate","White"
"3244","Slightly Liberal","White"
"3245","Liberal","White"
"3246","Moderate","White"
"3247","Conservative","White"
"3248","Moderate","Black"
"3249","Slightly Conservative","Black"
"3250","Conservative","Black"
"3251","Conservative","Black"
"3252","Moderate","Black"
"3253","Moderate","White"
"3254","Conservative","White"
"3255","Conservative","White"
"3256","Slightly Liberal","White"
"3257","Liberal","White"
"3258","Moderate","White"
"3259","Extremely Liberal","White"
"3260","Moderate","White"
"3261","Liberal","White"
"3262","Liberal","White"
"3263","Conservative","White"
"3264","Moderate","White"
"3265","Slightly Liberal","White"
"3266","Conservative","White"
"3267","Slightly Liberal","White"
"3268","Slightly Liberal","White"
"3269","Slightly Conservative","White"
"3270","Extremely Liberal","White"
"3271","Moderate","White"
"3272","Extrmly Conservative","White"
"3273","Slightly Liberal","White"
"3274","Slightly Liberal","White"
"3275","Slightly Conservative","White"
"3276","Moderate","White"
"3277","Moderate","White"
"3278","Moderate","White"
"3279","Slightly Conservative","White"
"3280","Moderate","White"
"3281","Moderate","White"
"3282","Moderate","White"
"3283","Liberal","White"
"3284","Extrmly Conservative","White"
"3285","Slightly Liberal","White"
"3286","Slightly Conservative","White"
"3287","Liberal","White"
"3288","Conservative","White"
"3289","Moderate","White"
"3290","Liberal","White"
"3291","Liberal","White"
"3292","Extremely Liberal","White"
"3293","Liberal","White"
"3294","Slightly Conservative","White"
"3295","Slightly Liberal","White"
"3296","Slightly Conservative","White"
"3297","Moderate","White"
"3298","Liberal","White"
"3299","Slightly Liberal","White"
"3300","Moderate","White"
"3301","Slightly Liberal","White"
"3302","Moderate","White"
"3303","Liberal","White"
"3304","Slightly Liberal","White"
"3307","Conservative","White"
"3308","Moderate","Black"
"3309","Moderate","Black"
"3310","Conservative","Black"
"3312","Moderate","Black"
"3313","Liberal","White"
"3314","Slightly Liberal","White"
"3316","Slightly Liberal","White"
"3317","Slightly Liberal","White"
"3318","Moderate","White"
"3319","Moderate","White"
"3320","Moderate","White"
"3321","Moderate","White"
"3322","Conservative","White"
"3323","Liberal","White"
"3324","Moderate","White"
"3325","Extrmly Conservative","White"
"3326","Slightly Conservative","White"
"3327","Slightly Conservative","White"
"3328","Moderate","White"
"3329","Moderate","White"
"3330","Moderate","White"
"3332","Moderate","White"
"3333","Moderate","White"
"3334","Moderate","White"
"3335","Slightly Conservative","White"
"3336","Moderate","White"
"3337","Liberal","White"
"3338","Slightly Liberal","White"
"3339","Liberal","White"
"3340","Moderate","White"
"3341","Conservative","White"
"3342","Slightly Liberal","White"
"3343","Conservative","White"
"3344","Moderate","White"
"3345","Moderate","White"
"3346","Liberal","Other"
"3347","Moderate","White"
"3348","Slightly Conservative","White"
"3349","Moderate","White"
"3350","Slightly Conservative","White"
"3351","Slightly Liberal","White"
"3352","Slightly Liberal","White"
"3353","Conservative","White"
"3354","Moderate","White"
"3355","Moderate","White"
"3356","Moderate","White"
"3357","Moderate","White"
"3358","Moderate","White"
"3359","Moderate","White"
"3360","Moderate","White"
"3361","Moderate","White"
"3362","Slightly Liberal","White"
"3363","Conservative","White"
"3364","Slightly Conservative","White"
"3365","Moderate","White"
"3366","Slightly Liberal","White"
"3367","Liberal","White"
"3368","Conservative","White"
"3369","Moderate","White"
"3370","Conservative","White"
"3371","Conservative","White"
"3372","Moderate","White"
"3373","Liberal","White"
"3374","Conservative","White"
"3376","Slightly Conservative","White"
"3377","Slightly Liberal","White"
"3378","Slightly Conservative","White"
"3379","Moderate","White"
"3380","Moderate","White"
"3381","Slightly Liberal","White"
"3382","Moderate","White"
"3383","Moderate","White"
"3384","Slightly Liberal","White"
"3385","Moderate","White"
"3386","Liberal","White"
"3387","Moderate","White"
"3388","Moderate","White"
"3389","Slightly Liberal","White"
"3390","Liberal","White"
"3391","Moderate","White"
"3392","Slightly Liberal","White"
"3393","Moderate","White"
"3394","Slightly Liberal","White"
"3395","Moderate","White"
"3396","Slightly Conservative","White"
"3397","Slightly Conservative","White"
"3398","Moderate","White"
"3399","Slightly Liberal","White"
"3400","Moderate","White"
"3401","Moderate","White"
"3402","Slightly Liberal","White"
"3403","Slightly Conservative","White"
"3404","Slightly Conservative","White"
"3405","Slightly Conservative","White"
"3407","Liberal","White"
"3409","Slightly Liberal","White"
"3410","Moderate","White"
"3411","Slightly Liberal","White"
"3412","Moderate","Black"
"3413","Liberal","Black"
"3414","Moderate","White"
"3415","Moderate","White"
"3416","Liberal","White"
"3417","Conservative","White"
"3418","Slightly Conservative","White"
"3419","Conservative","White"
"3420","Liberal","White"
"3421","Moderate","White"
"3422","Slightly Liberal","White"
"3423","Extremely Liberal","Black"
"3424","Liberal","Black"
"3425","Moderate","White"
"3426","Liberal","Black"
"3427","Moderate","White"
"3428","Slightly Conservative","White"
"3429","Moderate","White"
"3430","Moderate","White"
"3431","Moderate","White"
"3432","Slightly Liberal","White"
"3433","Slightly Conservative","White"
"3434","Slightly Liberal","White"
"3435","Liberal","White"
"3436","Moderate","White"
"3437","Liberal","White"
"3438","Moderate","White"
"3439","Conservative","White"
"3440","Moderate","White"
"3441","Moderate","White"
"3442","Moderate","White"
"3443","Liberal","White"
"3444","Liberal","White"
"3445","Liberal","White"
"3446","Liberal","White"
"3447","Moderate","White"
"3448","Moderate","White"
"3449","Slightly Liberal","White"
"3450","Moderate","White"
"3451","Slightly Liberal","Black"
"3452","Moderate","Black"
"3454","Slightly Liberal","White"
"3455","Liberal","White"
"3456","Liberal","White"
"3457","Slightly Liberal","White"
"3458","Extrmly Conservative","White"
"3460","Moderate","White"
"3461","Conservative","White"
"3462","Slightly Conservative","White"
"3463","Slightly Liberal","White"
"3464","Moderate","White"
"3465","Moderate","White"
"3466","Extrmly Conservative","Black"
"3467","Conservative","Black"
"3468","Extrmly Conservative","Black"
"3469","Extrmly Conservative","Black"
"3471","Moderate","White"
"3472","Moderate","White"
"3473","Slightly Conservative","White"
"3474","Moderate","White"
"3475","Moderate","White"
"3476","Conservative","White"
"3477","Slightly Liberal","White"
"3478","Conservative","White"
"3479","Slightly Conservative","White"
"3480","Conservative","White"
"3481","Slightly Conservative","White"
"3482","Moderate","White"
"3483","Liberal","White"
"3484","Slightly Conservative","White"
"3485","Moderate","White"
"3486","Moderate","White"
"3487","Moderate","White"
"3488","Slightly Liberal","White"
"3489","Moderate","White"
"3490","Moderate","White"
"3491","Liberal","Black"
"3492","Moderate","Black"
"3493","Slightly Liberal","Black"
"3494","Liberal","Black"
"3495","Liberal","Black"
"3496","Slightly Conservative","White"
"3497","Moderate","White"
"3498","Liberal","White"
"3499","Liberal","White"
"3500","Moderate","White"
"3501","Extremely Liberal","White"
"3502","Liberal","White"
"3503","Conservative","White"
"3504","Slightly Liberal","White"
"3505","Moderate","White"
"3506","Slightly Liberal","White"
"3507","Moderate","White"
"3508","Slightly Conservative","White"
"3509","Moderate","White"
"3510","Slightly Liberal","White"
"3511","Slightly Liberal","Black"
"3512","Liberal","Black"
"3513","Liberal","Black"
"3514","Slightly Liberal","Black"
"3515","Liberal","Black"
"3517","Liberal","White"
"3518","Conservative","White"
"3519","Liberal","White"
"3520","Moderate","White"
"3521","Slightly Liberal","White"
"3522","Moderate","White"
"3523","Conservative","White"
"3524","Conservative","White"
"3525","Slightly Conservative","White"
"3527","Moderate","Black"
"3528","Slightly Liberal","Black"
"3529","Moderate","Black"
"3531","Moderate","White"
"3532","Extremely Liberal","White"
"3533","Slightly Conservative","White"
"3534","Moderate","White"
"3535","Slightly Conservative","White"
"3536","Slightly Liberal","White"
"3537","Moderate","White"
"3538","Moderate","White"
"3539","Slightly Liberal","White"
"3540","Liberal","White"
"3541","Liberal","White"
"3542","Moderate","White"
"3543","Slightly Conservative","White"
"3544","Conservative","White"
"3545","Slightly Liberal","White"
"3546","Moderate","White"
"3547","Slightly Liberal","White"
"3548","Moderate","White"
"3549","Slightly Conservative","White"
"3550","Conservative","White"
"3551","Liberal","White"
"3552","Moderate","White"
"3553","Slightly Conservative","White"
"3554","Moderate","Black"
"3555","Moderate","White"
"3556","Moderate","White"
"3557","Slightly Liberal","White"
"3558","Conservative","White"
"3559","Moderate","White"
"3560","Slightly Conservative","White"
"3561","Moderate","White"
"3562","Liberal","White"
"3563","Slightly Liberal","White"
"3564","Moderate","White"
"3565","Slightly Liberal","White"
"3566","Extremely Liberal","White"
"3567","Liberal","White"
"3568","Slightly Liberal","White"
"3569","Liberal","White"
"3570","Moderate","White"
"3571","Slightly Conservative","Black"
"3572","Slightly Liberal","White"
"3573","Slightly Conservative","White"
"3574","Liberal","White"
"3575","Slightly Conservative","White"
"3576","Slightly Conservative","White"
"3577","Liberal","White"
"3578","Slightly Liberal","White"
"3579","Liberal","White"
"3580","Liberal","White"
"3581","Liberal","White"
"3582","Slightly Liberal","White"
"3583","Conservative","White"
"3584","Moderate","White"
"3585","Slightly Conservative","White"
"3586","Moderate","White"
"3587","Liberal","Black"
"3588","Liberal","Black"
"3589","Slightly Liberal","Black"
"3590","Moderate","White"
"3591","Moderate","White"
"3592","Slightly Conservative","White"
"3593","Slightly Conservative","White"
"3594","Moderate","White"
"3595","Liberal","White"
"3596","Moderate","Other"
"3597","Moderate","Black"
"3598","Liberal","Black"
"3599","Liberal","Black"
"3600","Moderate","Black"
"3601","Slightly Conservative","Black"
"3602","Moderate","White"
"3603","Conservative","White"
"3604","Slightly Liberal","White"
"3605","Moderate","White"
"3606","Moderate","White"
"3607","Moderate","White"
"3608","Moderate","White"
"3610","Slightly Liberal","Black"
"3611","Moderate","White"
"3612","Moderate","Black"
"3613","Liberal","Black"
"3614","Moderate","Black"
"3615","Conservative","Black"
"3616","Moderate","Black"
"3617","Liberal","White"
"3618","Liberal","White"
"3619","Moderate","White"
"3620","Moderate","White"
"3621","Moderate","White"
"3622","Slightly Conservative","White"
"3623","Slightly Conservative","White"
"3624","Moderate","White"
"3626","Conservative","White"
"3627","Moderate","White"
"3628","Slightly Conservative","White"
"3629","Liberal","White"
"3630","Slightly Conservative","White"
"3631","Moderate","White"
"3632","Liberal","White"
"3633","Slightly Conservative","White"
"3635","Slightly Liberal","White"
"3636","Moderate","White"
"3637","Slightly Conservative","White"
"3638","Moderate","White"
"3639","Slightly Conservative","White"
"3640","Moderate","White"
"3641","Liberal","Black"
"3642","Moderate","White"
"3643","Liberal","White"
"3644","Slightly Liberal","White"
"3645","Moderate","White"
"3646","Moderate","White"
"3647","Extremely Liberal","Black"
"3648","Slightly Liberal","White"
"3649","Slightly Conservative","White"
"3650","Conservative","White"
"3651","Liberal","White"
"3652","Moderate","White"
"3653","Slightly Conservative","White"
"3654","Slightly Liberal","White"
"3655","Slightly Conservative","White"
"3656","Slightly Conservative","White"
"3657","Slightly Liberal","Black"
"3658","Conservative","Black"
"3659","Liberal","Black"
"3660","Extrmly Conservative","Black"
"3661","Extrmly Conservative","Black"
"3662","Moderate","White"
"3663","Liberal","White"
"3664","Liberal","White"
"3665","Conservative","White"
"3666","Moderate","White"
"3667","Moderate","White"
"3668","Slightly Liberal","White"
"3669","Moderate","White"
"3671","Slightly Conservative","White"
"3672","Slightly Conservative","White"
"3673","Moderate","White"
"3674","Slightly Liberal","White"
"3675","Liberal","White"
"3676","Moderate","White"
"3677","Slightly Liberal","White"
"3678","Conservative","White"
"3679","Slightly Conservative","White"
"3680","Slightly Liberal","White"
"3681","Moderate","White"
"3682","Moderate","White"
"3683","Liberal","Black"
"3684","Conservative","Black"
"3686","Moderate","White"
"3687","Moderate","White"
"3688","Liberal","White"
"3689","Moderate","White"
"3690","Slightly Liberal","White"
"3691","Conservative","White"
"3692","Conservative","White"
"3693","Moderate","White"
"3694","Moderate","White"
"3695","Conservative","Black"
"3696","Liberal","Black"
"3697","Moderate","White"
"3698","Moderate","Black"
"3699","Slightly Liberal","Black"
"3700","Liberal","White"
"3701","Moderate","White"
"3702","Liberal","White"
"3703","Moderate","White"
"3704","Conservative","White"
"3705","Moderate","White"
"3706","Moderate","White"
"3707","Slightly Liberal","White"
"3708","Conservative","White"
"3709","Liberal","White"
"3710","Liberal","White"
"3711","Moderate","White"
"3712","Liberal","White"
"3713","Liberal","White"
"3714","Moderate","White"
"3715","Conservative","White"
"3716","Moderate","White"
"3717","Slightly Liberal","White"
"3718","Moderate","White"
"3719","Liberal","White"
"3720","Liberal","White"
"3721","Moderate","White"
"3722","Slightly Liberal","White"
"3723","Moderate","White"
"3724","Moderate","Black"
"3725","Slightly Liberal","Black"
"3726","Slightly Liberal","Black"
"3727","Moderate","Black"
"3728","Liberal","Black"
"3729","Moderate","White"
"3730","Liberal","White"
"3731","Moderate","White"
"3732","Extrmly Conservative","White"
"3733","Moderate","White"
"3734","Liberal","White"
"3735","Moderate","White"
"3736","Moderate","White"
"3737","Slightly Liberal","White"
"3738","Moderate","White"
"3739","Liberal","Black"
"3740","Slightly Conservative","Black"
"3741","Moderate","White"
"3742","Moderate","Black"
"3744","Moderate","White"
"3745","Moderate","White"
"3746","Slightly Liberal","White"
"3747","Moderate","White"
"3748","Moderate","White"
"3749","Slightly Conservative","White"
"3750","Moderate","White"
"3751","Slightly Conservative","White"
"3752","Moderate","White"
"3753","Slightly Conservative","White"
"3754","Moderate","White"
"3755","Conservative","White"
"3756","Slightly Conservative","White"
"3757","Moderate","White"
"3758","Moderate","White"
"3759","Slightly Conservative","White"
"3760","Liberal","White"
"3761","Moderate","White"
"3762","Liberal","White"
"3763","Liberal","White"
"3764","Moderate","White"
"3765","Moderate","White"
"3766","Moderate","White"
"3767","Conservative","White"
"3768","Slightly Conservative","White"
"3769","Moderate","White"
"3770","Slightly Conservative","White"
"3771","Slightly Conservative","White"
"3772","Conservative","White"
"3773","Moderate","White"
"3774","Moderate","White"
"3775","Liberal","White"
"3776","Slightly Conservative","White"
"3777","Moderate","White"
"3778","Slightly Conservative","White"
"3779","Liberal","White"
"3780","Slightly Conservative","White"
"3781","Slightly Liberal","White"
"3782","Moderate","White"
"3783","Extrmly Conservative","White"
"3786","Slightly Conservative","White"
"3787","Extrmly Conservative","White"
"3788","Moderate","White"
"3789","Moderate","White"
"3790","Liberal","White"
"3791","Slightly Liberal","White"
"3792","Liberal","White"
"3793","Liberal","White"
"3794","Moderate","White"
"3796","Slightly Liberal","White"
"3797","Conservative","White"
"3798","Conservative","White"
"3799","Moderate","White"
"3800","Moderate","White"
"3801","Extrmly Conservative","White"
"3802","Conservative","White"
"3803","Conservative","White"
"3804","Moderate","White"
"3805","Moderate","White"
"3806","Moderate","White"
"3807","Slightly Liberal","White"
"3808","Slightly Conservative","White"
"3809","Moderate","White"
"3810","Moderate","White"
"3811","Conservative","White"
"3812","Slightly Conservative","White"
"3813","Conservative","White"
"3814","Moderate","White"
"3816","Slightly Conservative","White"
"3817","Extrmly Conservative","White"
"3818","Slightly Conservative","White"
"3819","Extrmly Conservative","White"
"3820","Liberal","White"
"3821","Slightly Conservative","Black"
"3822","Moderate","White"
"3823","Conservative","White"
"3824","Moderate","White"
"3825","Moderate","White"
"3826","Moderate","White"
"3827","Conservative","White"
"3828","Extrmly Conservative","White"
"3829","Moderate","White"
"3830","Slightly Conservative","White"
"3831","Extrmly Conservative","White"
"3832","Slightly Conservative","White"
"3833","Liberal","White"
"3834","Moderate","White"
"3835","Slightly Conservative","White"
"3836","Moderate","White"
"3837","Liberal","Black"
"3838","Slightly Liberal","Black"
"3839","Slightly Liberal","Black"
"3840","Moderate","Black"
"3841","Liberal","Black"
"3842","Slightly Liberal","White"
"3843","Moderate","White"
"3844","Moderate","White"
"3845","Slightly Conservative","White"
"3846","Moderate","White"
"3847","Slightly Conservative","White"
"3848","Moderate","White"
"3849","Slightly Liberal","White"
"3850","Moderate","White"
"3851","Conservative","White"
"3852","Conservative","Black"
"3853","Slightly Conservative","Black"
"3854","Moderate","Black"
"3855","Moderate","Black"
"3856","Liberal","Black"
"3857","Slightly Conservative","White"
"3858","Slightly Liberal","White"
"3859","Moderate","White"
"3860","Moderate","White"
"3861","Moderate","White"
"3862","Slightly Conservative","White"
"3863","Liberal","White"
"3864","Liberal","White"
"3865","Moderate","White"
"3866","Slightly Liberal","White"
"3867","Slightly Liberal","White"
"3868","Slightly Liberal","White"
"3869","Slightly Conservative","White"
"3870","Moderate","White"
"3871","Moderate","White"
"3872","Moderate","White"
"3873","Moderate","White"
"3874","Slightly Conservative","White"
"3875","Slightly Conservative","White"
"3876","Moderate","White"
"3877","Moderate","White"
"3878","Moderate","White"
"3879","Slightly Conservative","White"
"3880","Slightly Conservative","White"
"3881","Moderate","White"
"3882","Liberal","White"
"3884","Moderate","White"
"3885","Moderate","White"
"3886","Moderate","White"
"3887","Slightly Conservative","White"
"3888","Conservative","White"
"3889","Liberal","White"
"3890","Slightly Liberal","White"
"3891","Slightly Liberal","White"
"3892","Moderate","White"
"3893","Slightly Conservative","White"
"3894","Slightly Liberal","White"
"3895","Slightly Liberal","White"
"3896","Slightly Liberal","White"
"3897","Moderate","White"
"3898","Liberal","White"
"3899","Slightly Conservative","Other"
"3900","Liberal","Other"
"3901","Moderate","White"
"3902","Slightly Conservative","White"
"3903","Conservative","White"
"3904","Moderate","White"
"3905","Conservative","White"
"3906","Conservative","Black"
"3907","Slightly Conservative","White"
"3908","Conservative","White"
"3909","Moderate","White"
"3910","Moderate","White"
"3911","Slightly Conservative","White"
"3912","Slightly Liberal","White"
"3913","Moderate","White"
"3914","Conservative","White"
"3915","Moderate","White"
"3916","Moderate","White"
"3917","Moderate","White"
"3918","Slightly Conservative","White"
"3919","Slightly Conservative","White"
"3920","Conservative","White"
"3921","Moderate","White"
"3922","Slightly Conservative","White"
"3923","Moderate","White"
"3924","Moderate","White"
"3925","Slightly Conservative","White"
"3927","Moderate","White"
"3928","Conservative","White"
"3929","Moderate","White"
"3930","Moderate","White"
"3931","Extremely Liberal","White"
"3932","Slightly Conservative","White"
"3933","Slightly Liberal","White"
"3934","Moderate","White"
"3935","Moderate","White"
"3937","Slightly Liberal","White"
"3938","Moderate","White"
"3940","Moderate","White"
"3941","Moderate","White"
"3942","Liberal","White"
"3943","Slightly Conservative","White"
"3944","Liberal","White"
"3945","Slightly Conservative","White"
"3946","Slightly Conservative","White"
"3947","Slightly Liberal","White"
"3948","Conservative","White"
"3949","Moderate","White"
"3950","Slightly Conservative","White"
"3951","Moderate","White"
"3952","Moderate","Black"
"3953","Slightly Conservative","Black"
"3954","Liberal","Black"
"3955","Moderate","Black"
"3956","Liberal","Black"
"3957","Moderate","White"
"3958","Moderate","White"
"3959","Moderate","White"
"3960","Moderate","White"
"3961","Moderate","White"
"3962","Extremely Liberal","White"
"3963","Moderate","Black"
"3964","Slightly Conservative","White"
"3965","Conservative","Black"
"3966","Moderate","Black"
"3967","Conservative","White"
"3968","Slightly Conservative","White"
"3969","Liberal","White"
"3970","Moderate","White"
"3971","Moderate","White"
"3972","Moderate","White"
"3973","Conservative","White"
"3974","Moderate","White"
"3975","Moderate","White"
"3976","Moderate","White"
"3977","Slightly Conservative","White"
"3978","Liberal","White"
"3979","Moderate","White"
"3980","Moderate","White"
"3981","Slightly Conservative","White"
"3982","Liberal","Black"
"3983","Liberal","White"
"3984","Extremely Liberal","White"
"3985","Moderate","White"
"3986","Slightly Liberal","White"
"3987","Liberal","White"
"3989","Extremely Liberal","White"
"3990","Moderate","White"
"3991","Moderate","Black"
"3994","Extremely Liberal","White"
"3995","Moderate","White"
"3996","Liberal","White"
"3997","Slightly Liberal","White"
"3998","Extremely Liberal","White"
"3999","Slightly Conservative","White"
"4000","Liberal","White"
"4001","Moderate","Black"
"4002","Moderate","White"
"4003","Moderate","White"
"4004","Moderate","White"
"4005","Slightly Conservative","White"
"4006","Liberal","White"
"4007","Moderate","Black"
"4009","Moderate","Black"
"4010","Moderate","Black"
"4011","Moderate","Black"
"4012","Moderate","White"
"4013","Liberal","White"
"4014","Moderate","White"
"4015","Liberal","White"
"4016","Liberal","White"
"4017","Slightly Liberal","White"
"4018","Slightly Conservative","White"
"4019","Moderate","White"
"4020","Slightly Conservative","White"
"4021","Slightly Conservative","White"
"4022","Moderate","Black"
"4023","Moderate","Black"
"4025","Moderate","Black"
"4026","Moderate","Black"
"4027","Moderate","White"
"4028","Conservative","White"
"4029","Moderate","White"
"4030","Slightly Liberal","White"
"4031","Slightly Conservative","White"
"4032","Slightly Conservative","White"
"4033","Moderate","Black"
"4034","Liberal","White"
"4035","Slightly Liberal","White"
"4036","Slightly Liberal","White"
"4037","Conservative","White"
"4038","Slightly Liberal","White"
"4039","Liberal","White"
"4040","Slightly Liberal","White"
"4041","Moderate","White"
"4042","Slightly Liberal","White"
"4043","Moderate","White"
"4044","Conservative","White"
"4046","Extremely Liberal","White"
"4047","Slightly Liberal","White"
"4048","Moderate","Black"
"4049","Moderate","Black"
"4050","Moderate","Black"
"4052","Moderate","White"
"4053","Slightly Liberal","White"
"4054","Conservative","White"
"4055","Liberal","White"
"4056","Slightly Conservative","White"
"4057","Liberal","White"
"4058","Slightly Liberal","White"
"4059","Conservative","White"
"4060","Slightly Liberal","White"
"4061","Slightly Liberal","White"
"4062","Slightly Conservative","White"
"4063","Moderate","White"
"4064","Slightly Liberal","White"
"4065","Moderate","White"
"4066","Slightly Liberal","White"
"4067","Moderate","White"
"4068","Moderate","White"
"4070","Moderate","White"
"4071","Slightly Liberal","White"
"4072","Conservative","White"
"4073","Moderate","White"
"4074","Conservative","White"
"4076","Conservative","White"
"4080","Conservative","White"
"4084","Conservative","White"
"4086","Slightly Conservative","White"
"4087","Slightly Liberal","White"
"4088","Moderate","White"
"4089","Slightly Liberal","White"
"4090","Slightly Conservative","White"
"4091","Slightly Conservative","White"
"4092","Moderate","White"
"4093","Slightly Conservative","Black"
"4094","Conservative","White"
"4095","Moderate","White"
"4096","Slightly Conservative","White"
"4097","Liberal","Black"
"4098","Slightly Liberal","Black"
"4099","Liberal","Black"
"4100","Moderate","Black"
"4101","Liberal","Black"
"4102","Moderate","White"
"4103","Moderate","White"
"4104","Moderate","White"
"4105","Conservative","White"
"4106","Moderate","White"
"4107","Conservative","White"
"4108","Slightly Conservative","White"
"4109","Moderate","White"
"4110","Moderate","White"
"4111","Liberal","White"
"4113","Moderate","White"
"4114","Slightly Conservative","White"
"4115","Conservative","White"
"4116","Conservative","White"
"4117","Moderate","White"
"4118","Moderate","White"
"4120","Liberal","White"
"4121","Conservative","White"
"4122","Slightly Conservative","White"
"4123","Slightly Conservative","White"
"4125","Moderate","White"
"4126","Moderate","White"
"4127","Liberal","White"
"4128","Slightly Liberal","Black"
"4129","Liberal","Black"
"4130","Moderate","Black"
"4131","Slightly Conservative","White"
"4132","Moderate","White"
"4133","Liberal","White"
"4134","Slightly Liberal","White"
"4135","Moderate","White"
"4136","Slightly Conservative","White"
"4137","Liberal","White"
"4138","Conservative","White"
"4139","Moderate","White"
"4140","Moderate","White"
"4141","Moderate","White"
"4142","Moderate","White"
"4143","Moderate","White"
"4144","Slightly Conservative","White"
"4145","Slightly Liberal","White"
"4147","Slightly Liberal","White"
"4148","Conservative","White"
"4149","Moderate","White"
"4150","Moderate","White"
"4151","Slightly Liberal","White"
"4152","Slightly Liberal","White"
"4153","Moderate","White"
"4154","Moderate","White"
"4155","Moderate","White"
"4156","Moderate","White"
"4157","Liberal","White"
"4158","Moderate","White"
"4159","Slightly Conservative","White"
"4160","Slightly Liberal","White"
"4161","Slightly Liberal","White"
"4162","Slightly Conservative","White"
"4163","Moderate","White"
"4164","Slightly Liberal","White"
"4165","Slightly Liberal","White"
"4166","Slightly Conservative","White"
"4167","Slightly Liberal","White"
"4168","Moderate","White"
"4169","Moderate","White"
"4170","Moderate","White"
"4171","Slightly Conservative","Black"
"4172","Moderate","White"
"4173","Extrmly Conservative","White"
"4174","Moderate","White"
"4175","Slightly Conservative","White"
"4176","Conservative","White"
"4177","Moderate","Black"
"4178","Conservative","White"
"4179","Extremely Liberal","White"
"4180","Liberal","Black"
"4181","Moderate","White"
"4182","Slightly Liberal","White"
"4183","Extrmly Conservative","White"
"4184","Moderate","White"
"4185","Moderate","White"
"4186","Extremely Liberal","White"
"4187","Moderate","White"
"4188","Slightly Conservative","White"
"4189","Slightly Liberal","White"
"4190","Liberal","Black"
"4191","Moderate","White"
"4192","Liberal","White"
"4193","Moderate","White"
"4194","Moderate","White"
"4195","Slightly Conservative","White"
"4196","Slightly Conservative","White"
"4197","Slightly Liberal","White"
"4198","Slightly Conservative","White"
"4199","Slightly Liberal","White"
"4200","Moderate","White"
"4201","Moderate","White"
"4202","Conservative","White"
"4203","Conservative","White"
"4204","Moderate","White"
"4205","Liberal","White"
"4206","Liberal","White"
